央视频道,#genre#
CCTV1,http://219.150.114.71:6610/PLTV1/40/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV2,http://219.150.114.76:6610/PLTV1/60/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV3,http://219.150.114.76:6610/PLTV1/80/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV4,http://219.150.114.76:6610/PLTV1/100/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV5,http://219.150.114.76:6610/PLTV1/120/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV6,http://219.150.114.76:6610/PLTV1/140/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV7,http://219.150.114.76:6610/PLTV1/160/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV8,http://219.150.114.76:6610/PLTV1/180/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV9,http://219.150.114.76:6610/PLTV1/200/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV10,http://219.150.114.76:6610/PLTV1/220/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV11,http://219.150.114.76:6610/PLTV1/240/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV12,http://219.150.114.76:6610/PLTV1/260/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV13,http://219.150.114.76:6610/PLTV1/280/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV14,http://219.150.114.76:6610/PLTV1/300/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV15,http://219.150.114.76:6610/PLTV1/320/default.m3u8?servicetype=1&m3u8_level=2&IAS
CCTV1,http://119.54.1.220:58000/hls/1/index.m3u8
CCTV2,http://119.54.1.220:58000/hls/2/index.m3u8
CCTV3,http://119.54.1.220:58000/hls/3/index.m3u8
CCTV4,http://119.54.1.220:58000/hls/4/index.m3u8
CCTV5,http://119.54.1.220:58000/hls/5/index.m3u8
CCTV6,http://119.54.1.220:58000/hls/6/index.m3u8
CCTV7,http://119.54.1.220:58000/hls/7/index.m3u8
CCTV8,http://119.54.1.220:58000/hls/8/index.m3u8
CCTV9,http://119.54.1.220:58000/hls/9/index.m3u8
CCTV10,http://119.54.1.220:58000/hls/10/index.m3u8
CCTV11,http://119.54.1.220:58000/hls/11/index.m3u8
CCTV12,http://119.54.1.220:58000/hls/12/index.m3u8
CCTV13,http://119.54.1.220:58000/hls/13/index.m3u8
CCTV14,http://119.54.1.220:58000/hls/14/index.m3u8
CCTV15,http://119.54.1.220:58000/hls/15/index.m3u8
CCTV16,http://119.54.1.220:58000/hls/16/index.m3u8
CCTV17,http://119.54.1.220:58000/hls/17/index.m3u8
CCTV4K,http://119.54.1.220:58000/hls/29/index.m3u8
河南频道,#genre#
河南卫视,http://219.150.114.71:6610/PLTV1/580/default.m3u8?servicetype=1&m3u8_level=2&IAS
